J48WSN_RODADA_1_5F	ACURÁCIA	DETECÇÃO	ALARME-FALSO	SELECAO
J48WSN_RODADA_1_5F(27)	99.43033599853516	98.82054138183594	0.0	[17, 5, 11, 13, 8]	
J48WSN_RODADA_1_5F(28)	99.43033599853516	98.82054138183594	0.0	[8, 17, 5, 11, 7]	
J48WSN_RODADA_1_5F(29)	99.43033599853516	98.82054138183594	0.0	[11, 17, 5, 13, 8]	
J48WSN_RODADA_1_5F(30)	99.43033599853516	98.82054138183594	0.0	[8, 17, 5, 11, 7]	
J48WSN_RODADA_1_5F(31)	99.43033599853516	98.82054138183594	0.0	[17, 5, 11, 12, 8]	
J48WSN_RODADA_1_5F(32)	99.43033599853516	98.82054138183594	0.0	[17, 5, 11, 12, 8]	
J48WSN_RODADA_1_5F(33)	99.43033599853516	98.82054138183594	0.0	[17, 5, 11, 12, 8]	
J48WSN_RODADA_1_5F(34)	99.43033599853516	98.82054138183594	0.0	[17, 8, 5, 11, 6]	
J48WSN_RODADA_1_5F(35)	99.43033599853516	98.82054138183594	0.0	[17, 5, 8, 2, 15]	
J48WSN_RODADA_1_5F(36)	99.43033599853516	98.82054138183594	0.0	[17, 5, 8, 2, 15]	
J48WSN_RODADA_1_5F(37)	99.43033599853516	98.82054138183594	0.0	[5, 17, 11, 13, 8]	
J48WSN_RODADA_1_5F(38)	99.43033599853516	98.82054138183594	0.0	[8, 17, 5, 11, 6]	
J48WSN_RODADA_1_5F(39)	99.43033599853516	98.82054138183594	0.0	[8, 17, 5, 11, 6]	
J48WSN_RODADA_1_5F(40)	99.43033599853516	98.82054138183594	0.0	[8, 17, 5, 11, 6]	
J48WSN_RODADA_1_5F(41)	99.43033599853516	98.82054138183594	0.0	[5, 8, 17, 11, 3]	
J48WSN_RODADA_1_5F(42)	99.43033599853516	98.82054138183594	0.0	[8, 17, 5, 11, 3]	
J48WSN_RODADA_1_5F(43)	99.43033599853516	98.82054138183594	0.0	[5, 17, 11, 13, 8]	
J48WSN_RODADA_1_5F(44)	99.43033599853516	98.82054138183594	0.0	[17, 11, 5, 12, 8]	
J48WSN_RODADA_1_5F(45)	99.43033599853516	98.82054138183594	0.0	[17, 5, 11, 12, 8]	
J48WSN_RODADA_1_5F(46)	99.43033599853516	98.82054138183594	0.0	[8, 17, 5, 11, 3]	
J48WSN_RODADA_1_5F(47)	99.43033599853516	98.82054138183594	0.0	[17, 11, 8, 5, 3]	
J48WSN_RODADA_1_5F(48)	99.43033599853516	98.82054138183594	0.0	[5, 8, 17, 11, 6]	
J48WSN_RODADA_1_5F(49)	99.43033599853516	98.82054138183594	0.0	[5, 8, 17, 11, 6]	
J48WSN_RODADA_1_5F(50)	99.43033599853516	98.82054138183594	0.0	[5, 8, 17, 11, 3]	
